battle_id,replay_url,turn,event_type,player,source,source_species,target,target_species,move,ability,item,amount,old_hp,new_hp,hp_type,cause,cause_detail,is_direct,is_residual,is_hazard,is_recoil,is_self_damage,is_healing,raw_line
gen9natdexdraft-2334062445,https://replay.pokemonshowdown.com/gen9natdexdraft-2334062445,0,j,,,,,,,,,,,,unknown,unhandled_event,☆FluffySingh,False,False,False,False,False,False,|j|☆FluffySingh
gen9natdexdraft-2334062445,https://replay.pokemonshowdown.com/gen9natdexdraft-2334062445,0,j,,,,,,,,,,,,unknown,unhandled_event,☆charuzar,False,False,False,False,False,False,|j|☆charuzar
gen9natdexdraft-2334062445,https://replay.pokemonshowdown.com/gen9natdexdraft-2334062445,0,timestamp,,,,,,,,,,,,unknown,,1743644122,False,False,False,False,False,False,|t:|1743644122
gen9natdexdraft-2334062445,https://replay.pokemonshowdown.com/gen9natdexdraft-2334062445,0,gametype,,,,,,,,,,,,unknown,unhandled_event,singles,False,False,False,False,False,False,|gametype|singles
gen9natdexdraft-2334062445,https://replay.pokemonshowdown.com/gen9natdexdraft-2334062445,0,player,FluffySingh,,,,,,,,,,,unknown,p1,,False,False,False,False,False,False,|player|p1|FluffySingh|clown|
gen9natdexdraft-2334062445,https://replay.pokemonshowdown.com/gen9natdexdraft-2334062445,0,player,charuzar,,,,,,,,,,,unknown,p2,,False,False,False,False,False,False,|player|p2|charuzar|backersf|
gen9natdexdraft-2334062445,https://replay.pokemonshowdown.com/gen9natdexdraft-2334062445,0,teamsize,,,,,,,,,,,,unknown,,p1|6,False,False,False,False,False,False,|teamsize|p1|6
gen9natdexdraft-2334062445,https://replay.pokemonshowdown.com/gen9natdexdraft-2334062445,0,teamsize,,,,,,,,,,,,unknown,,p2|6,False,False,False,False,False,False,|teamsize|p2|6
gen9natdexdraft-2334062445,https://replay.pokemonshowdown.com/gen9natdexdraft-2334062445,0,gen,,,,,,,,,,,,unknown,,9,False,False,False,False,False,False,|gen|9
gen9natdexdraft-2334062445,https://replay.pokemonshowdown.com/gen9natdexdraft-2334062445,0,format,,,,,,,,,,,,unknown,[Gen 9] NatDex Draft,,False,False,False,False,False,False,|tier|[Gen 9] NatDex Draft
gen9natdexdraft-2334062445,https://replay.pokemonshowdown.com/gen9natdexdraft-2334062445,0,rule,,,,,,,,,,,,unknown,,Sleep Clause Mod: Limit one foe put to sleep,False,False,False,False,False,False,|rule|Sleep Clause Mod: Limit one foe put to sleep
gen9natdexdraft-2334062445,https://replay.pokemonshowdown.com/gen9natdexdraft-2334062445,0,rule,,,,,,,,,,,,unknown,,OHKO Clause: OHKO moves are banned,False,False,False,False,False,False,|rule|OHKO Clause: OHKO moves are banned
