battle_id,player,pokemon_nickname,species,team_position,result,turns_active,switches_in,moves_used,hits_landed,hits_taken,misses,moves_dodged,crits,crits_taken,super_effective_hits_taken,resisted_hits_taken,damage_dealt_pct,direct_damage_dealt_pct,indirect_damage_dealt_pct,hazard_damage_dealt_pct,residual_damage_dealt_pct,damage_taken_pct,direct_damage_taken_pct,indirect_damage_taken_pct,hazard_damage_taken_pct,recoil_taken_pct,healing_received_pct,kos,direct_kos,indirect_kos,deaths,fainted_by,status_inflicted,status_received,hazards_set,hazards_removed,boosts_given,boosts_received,items_removed,abilities_revealed
gen9natdexdraft-2334062445,FluffySingh,Wailord,Gliscor,2,win,76,19,39,21,13,2,0,3,1,1,3,364.0,364.0,0.0,0.0,0.0,445.0,369.0,76.0,0.0,0.0,445.0,2,2,0,0,,2,1,0,0,0,3,3,
gen9natdexdraft-2334062445,FluffySingh,Wailord,Uxie,3,win,16,6,3,2,8,0,0,0,0,0,2,39.0,14.0,25.0,25.0,25.0,143.0,82.0,61.0,25.0,0.0,43.0,0,0,0,1,TRALALERO TRALALA,0,1,1,0,0,1,0,
gen9natdexdraft-2334062445,FluffySingh,Wailord,Vaporeon,5,win,43,11,18,5,4,0,1,0,1,1,0,60.0,60.0,0.0,0.0,0.0,204.0,79.0,125.0,13.0,0.0,187.0,0,0,0,0,,1,1,0,0,0,3,0,
gen9natdexdraft-2334062445,FluffySingh,Wailord,Latios,4,win,14,4,6,5,0,0,0,1,0,0,0,131.0,131.0,0.0,0.0,0.0,61.0,0.0,61.0,13.0,48.0,52.0,1,1,0,0,,1,1,0,0,0,4,0,
gen9natdexdraft-2334062445,FluffySingh,Wailord,Weezing-Galar,6,win,46,15,16,14,10,1,1,1,0,1,4,340.0,181.0,159.0,0.0,159.0,250.0,149.0,101.0,37.0,0.0,132.0,2,0,2,0,,2,0,0,2,4,2,0,
gen9natdexdraft-2334062445,FluffySingh,Wailord,Ogerpon-Cornerstone,1,win,3,1,1,1,1,0,0,0,1,0,0,45.0,45.0,0.0,0.0,0.0,33.0,33.0,0.0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,0,0,
gen9natdexdraft-2334062445,charuzar,TUNGTUNGTUNGSAHUR,Shiinotic,1,loss,68,18,32,30,16,1,1,0,1,0,14,267.0,69.0,198.0,0.0,198.0,908.0,289.0,619.0,0.0,0.0,808.0,0,0,0,1,Wailord,4,1,0,0,9,0,0,
gen9natdexdraft-2334062445,charuzar,LIRILÌ LARILÀ,Overqwil,5,loss,35,11,9,8,7,1,1,1,1,0,1,172.0,147.0,25.0,0.0,25.0,272.0,202.0,70.0,0.0,0.0,172.0,0,0,0,1,Wailord,0,2,0,0,0,0,0,Intimidate
gen9natdexdraft-2334062445,charuzar,Rotom-in-Heat,Rotom-Heat,3,loss,35,10,17,11,5,0,0,1,1,0,2,247.0,235.0,12.0,0.0,12.0,157.0,82.0,75.0,25.0,0.0,13.0,0,0,0,1,unknown,0,1,0,1,1,15,0,
gen9natdexdraft-2334062445,charuzar,TRULIMEROTRULICINA,Scream Tail,6,loss,38,13,13,5,8,0,1,1,1,0,0,173.0,148.0,25.0,0.0,25.0,209.0,134.0,75.0,0.0,0.0,109.0,0,0,0,1,Wailord,0,1,0,0,0,1,0,
gen9natdexdraft-2334062445,charuzar,B. CROCODILO,Landorus-Therian,2,loss,13,6,5,5,2,0,0,0,1,0,0,130.0,14.0,116.0,88.0,116.0,100.0,43.0,57.0,0.0,0.0,0.0,0,0,0,1,Wailord,0,1,2,0,0,0,0,Intimidate
gen9natdexdraft-2334062445,charuzar,TRALALERO TRALALA,Gallade-Mega,4,loss,16,5,7,12,1,0,0,0,0,0,0,99.0,99.0,0.0,0.0,0.0,77.0,45.0,32.0,0.0,0.0,0.0,1,1,0,1,Wailord,0,0,0,0,1,0,0,
